,Age,Sex,Job,Housing,Saving accounts,Credit amount,JK,House,Sosial
304,44,male,2,free,quite rich,tinggi,1,0,2
305,33,male,2,own,rich,rendah,1,1,3
307,33,male,1,own,moderate,rendah,1,1,1
308,24,female,2,own,little,rendah,0,1,0
309,22,male,1,rent,little,rendah,1,2,0
311,25,male,2,own,moderate,tinggi,1,1,1
312,26,female,2,own,little,tinggi,0,1,0
313,25,male,1,own,little,rendah,1,1,0
315,31,male,2,own,little,rendah,1,1,0
316,38,male,1,own,little,rendah,1,1,0
318,32,male,2,own,little,rendah,1,1,0
319,27,female,1,own,little,tinggi,0,1,0
320,28,male,3,own,little,tinggi,1,1,0
321,32,male,2,own,little,rendah,1,1,0
322,34,male,3,free,little,rendah,1,0,0
323,28,male,2,own,rich,rendah,1,1,3
324,36,female,2,own,little,rendah,0,1,0
325,39,male,1,own,little,tinggi,1,1,0
327,34,female,2,own,rich,rendah,0,1,3
328,31,male,2,own,little,tinggi,1,1,0
329,28,male,2,own,little,rendah,1,1,0
330,75,male,3,free,little,tinggi,1,0,0
331,30,female,2,own,moderate,rendah,0,1,1
332,24,female,3,own,moderate,tinggi,0,1,1
333,24,female,1,rent,moderate,tinggi,0,2,1
334,23,male,2,rent,little,tinggi,1,2,0
335,44,male,3,rent,little,tinggi,1,2,0
336,23,female,1,own,little,rendah,0,1,0
338,28,male,2,own,little,tinggi,1,1,0
339,31,male,1,own,little,rendah,1,1,0
340,24,female,2,free,little,tinggi,0,0,0
341,26,female,1,rent,little,tinggi,0,2,0
342,25,male,2,rent,quite rich,tinggi,1,2,2
343,33,male,3,own,little,tinggi,1,1,0
344,37,male,1,own,little,tinggi,1,1,0
345,43,female,1,own,little,rendah,0,1,0
346,23,male,2,own,little,rendah,1,1,0
347,23,female,0,rent,quite rich,tinggi,0,2,2
348,34,male,1,own,moderate,rendah,1,1,1
349,32,male,2,free,rich,rendah,1,0,3
350,23,female,2,rent,little,rendah,0,2,0
351,29,female,2,own,little,rendah,0,1,0
353,28,male,2,rent,little,tinggi,1,2,0
354,46,male,2,free,quite rich,rendah,1,0,2
355,23,male,1,own,little,rendah,1,1,0
357,26,male,3,own,little,tinggi,1,1,0
358,28,male,2,own,little,rendah,1,1,0
359,23,female,2,rent,little,rendah,0,2,0
362,36,female,2,own,little,rendah,0,1,0
363,21,male,2,rent,little,rendah,1,2,0
364,25,male,0,own,little,rendah,1,1,0
365,36,male,2,own,little,rendah,1,1,0
366,27,male,2,own,little,tinggi,1,1,0
367,22,female,2,rent,little,tinggi,0,2,0
368,42,male,2,own,little,tinggi,1,1,0
369,40,female,2,rent,little,rendah,0,2,0
371,33,male,2,own,little,tinggi,1,1,0
372,23,female,2,rent,little,rendah,0,2,0
374,60,female,3,free,moderate,tinggi,0,0,1
375,37,female,2,rent,little,tinggi,0,2,0
376,34,male,2,own,little,rendah,1,1,0
378,57,male,3,free,little,tinggi,1,0,0
379,52,female,1,own,moderate,rendah,0,1,1
381,38,female,3,free,little,tinggi,0,0,0
383,26,male,2,own,little,rendah,1,1,0
384,26,male,1,own,moderate,tinggi,1,1,1
385,25,female,2,own,little,rendah,0,1,0
387,40,male,3,own,little,tinggi,1,1,0
388,27,male,2,own,quite rich,rendah,1,1,2
389,27,female,2,own,little,rendah,0,1,0
390,30,male,3,own,little,rendah,1,1,0
391,19,female,1,rent,rich,rendah,0,2,3
392,39,male,3,free,little,tinggi,1,0,0
393,31,female,2,own,little,rendah,0,1,0
394,31,male,3,own,little,rendah,1,1,0
395,32,male,2,rent,moderate,tinggi,1,2,1
396,55,female,3,free,little,rendah,0,0,0
397,46,male,2,own,little,rendah,1,1,0
398,46,male,2,rent,little,rendah,1,2,0
399,43,female,1,own,rich,rendah,0,1,3
400,39,male,2,own,little,rendah,1,1,0
402,27,male,2,own,little,tinggi,1,1,0
403,27,male,1,own,little,rendah,1,1,0
405,22,male,2,own,little,rendah,1,1,0
407,27,male,2,own,little,rendah,1,1,0
408,26,male,3,own,quite rich,tinggi,1,1,2
409,28,male,2,own,quite rich,rendah,1,1,2
410,20,female,2,own,little,rendah,0,1,0
411,35,male,3,own,little,tinggi,1,1,0
412,42,male,3,own,little,rendah,1,1,0
413,40,male,1,rent,quite rich,rendah,1,2,2
415,35,male,2,own,little,tinggi,1,1,0
416,33,male,1,own,little,rendah,1,1,0
418,31,female,3,own,quite rich,rendah,0,1,2
420,20,female,2,rent,rich,tinggi,0,2,3
422,47,male,1,own,little,rendah,1,1,0
423,34,male,3,own,moderate,rendah,1,1,1
425,21,male,2,rent,little,rendah,1,2,0
426,29,male,2,own,little,rendah,1,1,0
427,46,male,2,own,rich,rendah,1,1,3
428,20,male,2,own,little,rendah,1,1,0
429,55,female,0,free,little,rendah,0,0,0
430,74,male,1,own,little,tinggi,1,1,0
431,29,male,3,own,little,tinggi,1,1,0
432,36,male,3,free,little,rendah,1,0,0
433,33,male,2,own,little,rendah,1,1,0
434,25,male,2,own,little,rendah,1,1,0
436,23,male,1,rent,quite rich,rendah,1,2,2
437,37,female,2,own,rich,rendah,0,1,3
438,65,male,0,own,little,tinggi,1,1,0
439,26,female,0,own,little,rendah,0,1,0
440,39,male,3,own,little,rendah,1,1,0
441,30,female,2,own,little,rendah,0,1,0
442,29,male,2,own,little,rendah,1,1,0
443,41,male,1,own,little,rendah,1,1,0
444,30,female,3,own,little,tinggi,0,1,0
446,34,female,2,own,little,rendah,0,1,0
447,35,male,2,own,little,rendah,1,1,0
449,61,male,2,own,rich,rendah,1,1,3
451,29,female,2,own,little,rendah,0,1,0
452,34,male,2,own,little,rendah,1,1,0
453,35,male,3,own,little,rendah,1,1,0
454,31,male,2,own,little,tinggi,1,1,0
455,29,female,3,own,little,rendah,0,1,0
456,36,male,2,rent,little,tinggi,1,2,0
457,35,male,2,free,little,tinggi,1,0,0
458,27,female,2,own,little,rendah,0,1,0
459,32,male,2,own,little,tinggi,1,1,0
460,37,male,2,own,little,tinggi,1,1,0
461,36,male,2,own,little,rendah,1,1,0
462,34,female,3,rent,little,rendah,0,2,0
464,34,male,2,own,little,rendah,1,1,0
465,63,male,2,own,little,rendah,1,1,0
466,29,female,1,rent,little,rendah,0,2,0
468,26,female,2,own,little,rendah,0,1,0
469,35,male,1,own,little,tinggi,1,1,0
470,22,male,2,rent,moderate,rendah,1,2,1
471,23,female,2,own,little,rendah,0,1,0
472,28,male,1,own,little,rendah,1,1,0
474,33,male,2,own,little,rendah,1,1,0
475,26,female,2,rent,little,rendah,0,2,0
476,24,male,2,own,quite rich,rendah,1,1,2
477,25,male,2,own,little,tinggi,1,1,0
478,39,male,1,own,moderate,rendah,1,1,1
479,44,male,2,own,little,rendah,1,1,0
480,23,female,1,own,little,tinggi,0,1,0
481,26,male,2,own,little,rendah,1,1,0
482,57,female,2,rent,rich,tinggi,0,2,3
483,30,female,2,own,rich,rendah,0,1,3
484,44,male,2,own,quite rich,rendah,1,1,2
485,47,male,3,own,little,rendah,1,1,0
486,52,male,2,own,little,rendah,1,1,0
487,62,female,2,free,little,tinggi,0,0,0
488,35,male,1,rent,moderate,rendah,1,2,1
489,26,male,2,rent,little,tinggi,1,2,0
490,26,male,2,own,little,rendah,1,1,0
491,42,female,3,free,little,tinggi,0,0,0
492,27,female,2,own,moderate,rendah,0,1,1
494,39,male,1,rent,little,rendah,1,2,0
496,29,male,3,rent,moderate,tinggi,1,2,1
497,40,male,2,own,little,rendah,1,1,0
498,32,male,1,own,little,rendah,1,1,0
499,28,male,2,own,moderate,rendah,1,1,1
500,27,female,2,own,little,rendah,0,1,0
501,42,male,2,free,little,tinggi,1,0,0
502,49,male,2,own,moderate,rendah,1,1,1
503,38,male,2,own,moderate,rendah,1,1,1
504,24,female,2,rent,little,rendah,0,2,0
506,36,male,2,own,quite rich,rendah,1,1,2
507,34,male,3,own,moderate,tinggi,1,1,1
508,28,male,2,own,little,rendah,1,1,0
509,45,male,3,own,moderate,tinggi,1,1,1
510,26,male,2,own,little,rendah,1,1,0
511,32,male,3,free,little,tinggi,1,0,0
512,26,male,2,rent,little,rendah,1,2,0
513,20,male,2,rent,little,rendah,1,2,0
515,37,female,2,own,little,rendah,0,1,0
516,40,male,1,own,little,rendah,1,1,0
517,23,female,2,rent,little,tinggi,0,2,0
518,43,male,2,own,moderate,rendah,1,1,1
520,44,male,2,free,little,tinggi,1,0,0
521,24,female,2,own,little,tinggi,0,1,0
522,53,male,2,free,little,tinggi,1,0,0
523,23,female,2,own,moderate,tinggi,0,1,1
524,26,female,1,own,little,rendah,0,1,0
525,30,male,2,own,little,tinggi,1,1,0
526,31,female,2,own,moderate,rendah,0,1,1
527,42,male,1,own,little,rendah,1,1,0
528,31,male,2,rent,little,rendah,1,2,0
529,41,male,1,own,little,rendah,1,1,0
530,32,male,2,own,little,rendah,1,1,0
531,28,female,2,rent,moderate,rendah,0,2,1
532,41,male,2,rent,little,rendah,1,2,0
533,26,male,2,own,moderate,rendah,1,1,1
535,33,male,2,rent,little,rendah,1,2,0
537,37,female,2,own,little,tinggi,0,1,0
538,42,male,3,free,little,tinggi,1,0,0
539,45,female,1,own,little,rendah,0,1,0
540,23,male,2,rent,little,rendah,1,2,0
541,60,male,2,free,little,rendah,1,0,0
543,34,male,1,own,little,rendah,1,1,0
544,61,male,1,own,little,rendah,1,1,0
545,43,male,2,free,little,rendah,1,0,0
546,37,female,2,own,little,rendah,0,1,0
547,32,male,2,own,little,rendah,1,1,0
548,24,female,1,own,little,rendah,0,1,0
551,45,male,1,own,quite rich,rendah,1,1,2
552,34,male,2,own,little,tinggi,1,1,0
553,27,male,2,own,moderate,rendah,1,1,1
554,67,female,3,own,little,rendah,0,1,0
555,22,male,2,own,little,rendah,1,1,0
556,28,female,2,own,moderate,rendah,0,1,1
558,27,male,2,own,little,tinggi,1,1,0
559,31,male,1,own,little,rendah,1,1,0
561,24,male,1,rent,little,rendah,1,2,0
562,29,female,2,own,little,rendah,0,1,0
565,23,female,2,rent,moderate,rendah,0,2,1
566,36,male,2,own,little,rendah,1,1,0
567,34,male,2,own,rich,rendah,1,1,3
569,31,female,2,own,little,tinggi,0,1,0
570,23,female,1,rent,little,tinggi,0,2,0
571,38,male,2,own,little,tinggi,1,1,0
573,22,female,1,own,little,rendah,0,1,0
574,27,male,1,own,little,rendah,1,1,0
575,24,female,2,own,little,rendah,0,1,0
576,27,female,2,own,little,rendah,0,1,0
578,27,male,2,own,little,rendah,1,1,0
579,27,male,1,own,little,rendah,1,1,0
580,30,male,2,own,little,rendah,1,1,0
581,49,male,1,own,little,rendah,1,1,0
582,26,female,2,rent,little,rendah,0,2,0
583,33,male,1,rent,little,rendah,1,2,0
585,20,female,2,rent,little,rendah,0,2,0
586,36,male,2,rent,little,rendah,1,2,0
587,21,male,1,own,little,rendah,1,1,0
588,47,male,1,own,little,rendah,1,1,0
589,60,male,2,own,little,rendah,1,1,0
590,58,female,1,own,little,rendah,0,1,0
592,36,female,1,own,rich,rendah,0,1,3
593,20,female,1,rent,little,rendah,0,2,0
595,32,female,1,own,moderate,rendah,0,1,1
596,23,female,2,rent,little,rendah,0,2,0
597,36,male,1,own,little,tinggi,1,1,0
598,31,male,2,own,little,rendah,1,1,0
599,32,male,2,free,little,tinggi,1,0,0
600,45,female,2,own,little,rendah,0,1,0
601,30,female,2,own,little,rendah,0,1,0
602,34,female,1,free,little,rendah,0,0,0
603,28,female,3,own,little,tinggi,0,1,0
604,23,female,2,own,little,rendah,0,1,0
605,22,male,2,own,quite rich,rendah,1,1,2
606,74,male,3,own,little,tinggi,1,1,0
607,50,female,2,free,moderate,rendah,0,0,1
608,33,male,2,own,little,rendah,1,1,0
610,22,female,2,own,moderate,rendah,0,1,1
611,48,female,1,free,moderate,rendah,0,0,1
612,29,female,2,own,rich,tinggi,0,1,3
613,22,female,2,rent,little,tinggi,0,2,0
614,22,female,2,own,little,rendah,0,1,0
617,37,male,2,rent,little,tinggi,1,2,0
618,21,female,2,rent,moderate,tinggi,0,2,1
619,49,male,1,own,little,rendah,1,1,0
620,27,male,2,own,little,tinggi,1,1,0
621,32,male,2,own,little,rendah,1,1,0
623,22,female,2,rent,little,rendah,0,2,0
624,65,male,2,free,little,rendah,1,0,0
626,41,male,2,own,little,rendah,1,1,0
627,29,male,2,own,moderate,rendah,1,1,1
628,36,male,2,own,quite rich,tinggi,1,1,2
630,28,female,2,own,little,tinggi,0,1,0
631,44,male,2,own,little,rendah,1,1,0
633,19,female,2,rent,little,rendah,0,2,0
634,25,female,1,own,little,rendah,0,1,0
635,47,male,2,own,little,rendah,1,1,0
636,28,female,2,own,quite rich,rendah,0,1,2
637,21,male,2,own,little,tinggi,1,1,0
638,34,female,2,own,little,rendah,0,1,0
639,26,male,2,own,little,tinggi,1,1,0
640,27,female,0,own,little,rendah,0,1,0
641,38,male,1,own,little,rendah,1,1,0
642,40,male,3,own,moderate,tinggi,1,1,1
643,33,male,2,own,little,rendah,1,1,0
644,32,male,3,own,little,rendah,1,1,0
646,32,male,2,own,little,tinggi,1,1,0
647,26,female,2,own,quite rich,rendah,0,1,2
648,38,male,2,free,little,rendah,1,0,0
649,40,male,1,rent,little,rendah,1,2,0
650,50,male,3,free,little,tinggi,1,0,0
651,37,male,1,own,little,rendah,1,1,0
652,45,male,2,own,little,rendah,1,1,0
653,42,male,3,own,moderate,tinggi,1,1,1
654,35,male,2,own,little,rendah,1,1,0
655,22,male,2,free,little,tinggi,1,0,0
656,41,male,1,own,little,rendah,1,1,0
658,28,female,2,own,little,tinggi,0,1,0
659,41,male,2,own,little,tinggi,1,1,0
660,23,male,2,rent,little,rendah,1,2,0
662,50,male,2,own,little,rendah,1,1,0
663,35,male,3,own,little,rendah,1,1,0
664,50,female,1,own,little,rendah,0,1,0
665,27,male,3,own,little,tinggi,1,1,0
666,34,male,2,own,rich,tinggi,1,1,3
667,27,female,2,own,little,tinggi,0,1,0
668,43,male,2,rent,little,tinggi,1,2,0
669,47,male,2,own,little,rendah,1,1,0
670,27,male,1,own,moderate,tinggi,1,1,1
671,31,male,2,own,moderate,tinggi,1,1,1
672,42,male,3,own,little,tinggi,1,1,0
673,24,male,2,own,quite rich,rendah,1,1,2
674,41,male,1,own,quite rich,rendah,1,1,2
675,26,female,3,rent,little,tinggi,0,2,0
676,33,male,2,own,little,tinggi,1,1,0
677,24,male,2,own,moderate,tinggi,1,1,1
678,64,male,1,rent,little,rendah,1,2,0
679,26,female,2,own,little,rendah,0,1,0
680,56,female,2,own,little,rendah,0,1,0
682,33,male,2,own,little,rendah,1,1,0
683,47,male,2,free,little,tinggi,1,0,0
684,31,male,1,own,moderate,tinggi,1,1,1
687,30,male,2,free,moderate,rendah,1,0,1
688,35,male,2,own,moderate,rendah,1,1,1
689,31,male,2,own,rich,tinggi,1,1,3
690,25,male,2,own,little,rendah,1,1,0
691,25,female,1,own,moderate,rendah,0,1,1
692,29,male,2,own,moderate,rendah,1,1,1
694,28,male,2,own,little,rendah,1,1,0
695,50,male,2,rent,quite rich,rendah,1,2,2
696,29,male,2,own,little,rendah,1,1,0
697,38,female,0,own,little,rendah,0,1,0
698,24,male,2,own,little,rendah,1,1,0
699,40,male,3,rent,little,rendah,1,2,0
700,29,female,1,rent,quite rich,rendah,0,2,2
701,46,male,2,free,little,tinggi,1,0,0
702,47,female,2,free,moderate,rendah,0,0,1
703,41,male,2,own,moderate,rendah,1,1,1
704,32,female,2,own,little,rendah,0,1,0
705,35,female,2,free,quite rich,tinggi,0,0,2
706,24,male,2,own,moderate,tinggi,1,1,1
707,25,female,2,rent,little,rendah,0,2,0
708,25,female,2,own,little,rendah,0,1,0
709,37,male,1,own,little,rendah,1,1,0
710,32,male,3,own,quite rich,rendah,1,1,2
711,35,female,2,free,little,rendah,0,0,0
713,25,male,1,own,little,rendah,1,1,0
714,27,male,3,own,little,tinggi,1,1,0
717,32,male,3,free,little,rendah,1,0,0
719,31,male,2,own,moderate,tinggi,1,1,1
720,34,male,3,own,little,rendah,1,1,0
721,24,female,2,rent,rich,rendah,0,2,3
722,24,female,1,own,little,rendah,0,1,0
723,66,female,1,own,quite rich,rendah,0,1,2
724,21,female,2,rent,little,rendah,0,2,0
725,41,female,1,own,rich,rendah,0,1,3
726,47,male,1,own,quite rich,rendah,1,1,2
